code_module,code_presentation,id_student,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,No_of_Clicks,Score,final_result
BBB,2013B,354058,F,North Western Region,Lower Than A Level,0-10%,0-35,0,60,N,2,61,Fail
BBB,2013B,360489,F,West Midlands Region,A Level or Equivalent,0-10%,0-35,0,240,Y,7,80,Withdrawn
BBB,2013B,367609,M,Wales,Lower Than A Level,0-10%,35-55,0,60,N,5,85,Pass
BBB,2013B,370720,F,London Region,Lower Than A Level,0-10%,0-35,1,120,N,1,69,Fail
BBB,2013B,397763,F,West Midlands Region,Lower Than A Level,0-10%,0-35,1,220,Y,1,71,Withdrawn
BBB,2013B,418325,F,Yorkshire Region,Lower Than A Level,0-10%,0-35,0,60,N,4,75,Pass
BBB,2013B,423871,F,Yorkshire Region,A Level or Equivalent,0-10%,0-35,0,90,N,1,80,Pass
BBB,2013B,427704,M,West Midlands Region,Lower Than A Level,0-10%,35-55,0,120,Y,1,65,Pass
BBB,2013B,430357,F,Yorkshire Region,A Level or Equivalent,0-10%,0-35,2,120,N,4,51,Fail
BBB,2013B,446357,F,West Midlands Region,Lower Than A Level,0-10%,0-35,0,220,N,7,53,Withdrawn
BBB,2013B,447790,F,North Western Region,Lower Than A Level,0-10%,0-35,1,220,N,4,100,Withdrawn
BBB,2013B,469683,F,Scotland,A Level or Equivalent,0-10%,35-55,1,120,N,2,50,Pass
BBB,2013B,476859,F,Yorkshire Region,A Level or Equivalent,0-10%,0-35,1,120,N,1,71,Fail
BBB,2013B,480554,F,West Midlands Region,Lower Than A Level,0-10%,0-35,0,60,N,1,85,Pass
BBB,2013B,487329,F,Yorkshire Region,A Level or Equivalent,0-10%,0-35,1,180,N,1,68,Fail
BBB,2013B,493186,F,Wales,Lower Than A Level,0-10%,0-35,1,120,N,1,80,Pass
BBB,2013B,497280,F,West Midlands Region,Lower Than A Level,0-10%,0-35,0,60,N,1,69,Pass
BBB,2013B,498065,F,West Midlands Region,HE Qualification,0-10%,35-55,0,60,N,1,79,Pass
BBB,2013B,499387,F,South West Region,A Level or Equivalent,0-10%,0-35,0,60,N,2,62,Pass
BBB,2013B,500585,F,Yorkshire Region,A Level or Equivalent,0-10%,0-35,1,240,Y,1,57,Withdrawn
BBB,2013B,500659,F,North Western Region,A Level or Equivalent,0-10%,0-35,0,220,Y,1,39,Withdrawn
BBB,2013B,500719,M,North Region,Lower Than A Level,0-10%,0-35,0,220,N,3,80,Withdrawn
BBB,2013B,503491,F,West Midlands Region,Lower Than A Level,0-10%,0-35,1,120,N,1,74,Pass
BBB,2013B,504021,F,North Western Region,Lower Than A Level,0-10%,35-55,0,220,N,1,56,Withdrawn
BBB,2013B,505606,F,Yorkshire Region,A Level or Equivalent,0-10%,35-55,0,60,N,3,80,Pass
BBB,2013B,507184,F,East Anglian Region,A Level or Equivalent,0-10%,0-35,0,220,N,3,75,Withdrawn
BBB,2013B,507685,F,North Region,A Level or Equivalent,0-10%,0-35,0,220,N,4,71,Withdrawn
BBB,2013B,510845,F,Wales,Lower Than A Level,0-10%,0-35,0,60,N,3,70,Pass
BBB,2013B,511067,F,South Region,A Level or Equivalent,0-10%,0-35,0,60,N,2,74,Pass
BBB,2013B,512180,F,Wales,Lower Than A Level,0-10%,0-35,0,120,Y,1,49,Fail
BBB,2013B,512911,F,Yorkshire Region,Lower Than A Level,0-10%,0-35,0,120,N,2,63,Fail
BBB,2013B,514987,F,West Midlands Region,A Level or Equivalent,0-10%,0-35,1,120,N,5,63,Pass
BBB,2013B,515035,F,South Region,Lower Than A Level,0-10%,0-35,0,60,N,2,58,Fail
BBB,2013B,515497,F,London Region,A Level or Equivalent,0-10%,0-35,0,120,N,6,66,Pass
BBB,2013B,516432,M,London Region,Lower Than A Level,0-10%,35-55,1,195,N,4,60,Pass
BBB,2013B,524496,F,West Midlands Region,A Level or Equivalent,0-10%,35-55,0,220,N,1,71,Withdrawn
BBB,2013B,525942,M,Scotland,Lower Than A Level,0-10%,0-35,0,220,Y,2,69,Withdrawn
BBB,2013B,527343,F,Wales,A Level or Equivalent,0-10%,0-35,1,220,N,1,71,Withdrawn
BBB,2013B,527382,F,Wales,Lower Than A Level,0-10%,0-35,0,220,Y,1,67,Withdrawn
BBB,2013B,527659,F,Wales,Lower Than A Level,0-10%,0-35,0,60,N,2,47,Fail
BBB,2013B,528220,F,East Midlands Region,A Level or Equivalent,0-10%,35-55,1,220,N,6,62,Withdrawn
BBB,2013B,529065,F,North Region,Lower Than A Level,0-10%,0-35,0,60,N,1,77,Pass
BBB,2013B,531000,F,London Region,Lower Than A Level,0-10%,35-55,0,220,N,3,71,Withdrawn
BBB,2013B,531573,F,Wales,Lower Than A Level,0-10%,35-55,1,120,Y,2,53,Fail
BBB,2013B,532142,F,Yorkshire Region,Lower Than A Level,0-10%,35-55,1,220,N,1,71,Withdrawn
BBB,2013B,532500,F,West Midlands Region,A Level or Equivalent,0-10%,0-35,0,60,N,1,33,Fail
BBB,2013B,534051,F,Wales,A Level or Equivalent,0-10%,0-35,0,60,N,1,45,Fail
BBB,2013B,534360,M,West Midlands Region,A Level or Equivalent,0-10%,0-35,0,60,Y,1,70,Pass
BBB,2013B,534765,F,East Midlands Region,Lower Than A Level,0-10%,0-35,0,120,Y,1,67,Pass
BBB,2013B,536510,F,South Region,Lower Than A Level,0-10%,0-35,0,220,Y,1,65,Withdrawn
BBB,2013B,537688,F,North Western Region,Lower Than A Level,0-10%,0-35,0,60,N,1,85,Pass
BBB,2013B,540594,F,West Midlands Region,A Level or Equivalent,0-10%,0-35,0,220,N,1,71,Withdrawn
BBB,2013B,540750,F,Wales,Lower Than A Level,0-10%,0-35,0,60,N,1,65,Pass
BBB,2013B,540787,F,South Region,A Level or Equivalent,0-10%,0-35,0,220,N,4,83,Withdrawn
BBB,2013B,541697,F,North Western Region,A Level or Equivalent,0-10%,35-55,0,60,N,2,69,Pass
BBB,2013B,541838,M,West Midlands Region,Lower Than A Level,0-10%,0-35,0,220,N,1,37,Withdrawn
BBB,2013B,542010,M,Wales,A Level or Equivalent,0-10%,35-55,0,220,N,7,50,Withdrawn
BBB,2013B,542081,F,North Western Region,Lower Than A Level,0-10%,0-35,0,220,N,1,71,Withdrawn
BBB,2013B,542172,F,London Region,A Level or Equivalent,0-10%,0-35,0,220,N,2,18,Withdrawn
BBB,2013B,542259,F,Scotland,Lower Than A Level,0-10%,35-55,0,220,Y,2,68,Withdrawn
BBB,2013B,5422402,F,North Western Region,Lower Than A Level,0-10%,0-35,0,220,N,1,71,Withdrawn
BBB,2013B,542692,F,West Midlands Region,Lower Than A Level,0-10%,0-35,0,60,N,1,25,Fail
BBB,2013B,543853,F,West Midlands Region,Lower Than A Level,0-10%,0-35,0,120,N,1,83,Pass
BBB,2013B,544444,F,Wales,Lower Than A Level,0-10%,35-55,0,220,N,1,78,Withdrawn
BBB,2013B,544741,F,West Midlands Region,A Level or Equivalent,0-10%,0-35,0,60,N,2,57,Pass
BBB,2013B,545219,F,North Region,Lower Than A Level,0-10%,0-35,0,220,N,1,71,Withdrawn
BBB,2013B,545223,F,East Midlands Region,Lower Than A Level,0-10%,0-35,0,220,N,1,240,Withdrawn
BBB,2013B,545340,F,Yorkshire Region,Lower Than A Level,0-10%,0-35,0,60,N,1,65,Fail
BBB,2013B,545480,F,London Region,A Level or Equivalent,0-10%,35-55,0,220,N,1,65,Withdrawn
BBB,2013B,545803,F,Ireland,HE Qualification,0-10%,0-35,0,120,N,1,64,Fail
BBB,2013B,546407,F,Scotland,Lower Than A Level,0-10%,35-55,0,60,N,2,74,Pass
BBB,2013B,547427,F,Wales,Lower Than A Level,0-10%,0-35,0,60,N,1,70,Pass
BBB,2013B,548642,F,West Midlands Region,A Level or Equivalent,0-10%,0-35,0,220,N,1,240,Withdrawn
BBB,2013B,548884,F,Wales,Lower Than A Level,0-10%,0-35,0,120,N,1,73,Pass
BBB,2013B,548981,F,Yorkshire Region,A Level or Equivalent,0-10%,0-35,0,60,N,2,63,Fail
BBB,2013B,549713,F,West Midlands Region,Lower Than A Level,0-10%,35-55,0,220,Y,1,71,Withdrawn
BBB,2013B,550051,F,East Midlands Region,A Level or Equivalent,0-10%,0-35,0,220,N,6,63,Withdrawn
BBB,2013B,550322,F,East Midlands Region,Lower Than A Level,0-10%,0-35,0,60,N,1,49,Fail
BBB,2013B,550597,F,London Region,Lower Than A Level,0-10%,0-35,0,60,N,3,68,Pass
BBB,2013B,550921,F,Yorkshire Region,Lower Than A Level,0-10%,0-35,0,60,N,4,77,Pass
BBB,2013B,551886,F,North Region,A Level or Equivalent,0-10%,0-35,0,120,N,5,75,Pass
BBB,2013B,552025,M,North Western Region,A Level or Equivalent,0-10%,0-35,0,220,N,1,77,Withdrawn
BBB,2013B,552069,F,Yorkshire Region,A Level or Equivalent,0-10%,0-35,0,220,N,1,71,Withdrawn
BBB,2013B,552914,F,London Region,A Level or Equivalent,0-10%,0-35,0,60,N,3,45,Fail
BBB,2013B,554818,F,London Region,A Level or Equivalent,0-10%,0-35,0,220,N,1,62,Withdrawn
BBB,2013B,556987,F,North Western Region,Lower Than A Level,0-10%,0-35,0,60,N,1,44,Fail
BBB,2013B,557220,F,Wales,Lower Than A Level,0-10%,0-35,0,60,N,1,80,Pass
BBB,2013B,558092,F,Yorkshire Region,A Level or Equivalent,0-10%,0-35,0,60,Y,1,55,Fail
BBB,2013B,560012,F,East Midlands Region,Lower Than A Level,0-10%,0-35,0,120,N,1,61,Fail
BBB,2013B,560455,F,North Region,A Level or Equivalent,0-10%,0-35,0,120,N,1,75,Pass
BBB,2013B,561444,F,South West Region,Lower Than A Level,0-10%,0-35,0,120,N,1,88,Pass
BBB,2013B,562465,F,West Midlands Region,Lower Than A Level,0-10%,0-35,0,120,N,1,75,Pass
BBB,2013B,1753965,M,South East Region,A Level or Equivalent,0-10%,0-35,1,60,N,1,79,Pass
BBB,2013B,1858523,F,South East Region,A Level or Equivalent,0-10%,0-35,0,220,N,1,62,Withdrawn
BBB,2013B,2380539,F,East Midlands Region,A Level or Equivalent,0-10%,35-55,0,60,N,9,93,Pass
BBB,2013B,2418877,F,Ireland,Lower Than A Level,0-10%,0-35,1,220,Y,1,75,Withdrawn
BBB,2013B,2423078,M,London Region,A Level or Equivalent,0-10%,35-55,1,220,N,2,100,Withdrawn
BBB,2013B,2444703,F,West Midlands Region,Lower Than A Level,0-10%,0-35,2,120,N,2,60,Fail
BBB,2013B,2521745,F,Yorkshire Region,Lower Than A Level,0-10%,0-35,0,60,N,1,50,Fail
BBB,2013B,2553749,F,North Western Region,No Formal quals,0-10%,35-55,1,220,N,1,75,Withdrawn
BBB,2013B,2572118,F,London Region,Lower Than A Level,0-10%,0-35,0,150,N,1,70,Fail
BBB,2013B,2575914,F,North Region,Lower Than A Level,0-10%,0-35,3,220,Y,4,82,Withdrawn
BBB,2013J,54388,M,East Anglian Region,Lower Than A Level,0-10%,35-55,3,220,N,1,71,Withdrawn
BBB,2013J,78255,F,North Region,Lower Than A Level,0-10%,0-35,1,220,N,3,76,Withdrawn
BBB,2013J,105883,F,North Western Region,A Level or Equivalent,0-10%,35-55,0,60,N,4,75,Pass
BBB,2013J,242149,F,North Western Region,Lower Than A Level,0-10%,0-35,1,120,N,1,75,Fail
BBB,2013J,243851,F,East Midlands Region,A Level or Equivalent,0-10%,0-35,0,60,Y,1,89,Pass
BBB,2013J,248800,F,West Midlands Region,Lower Than A Level,0-10%,0-35,2,220,Y,1,70,Withdrawn
BBB,2013J,339494,M,South East Region,A Level or Equivalent,0-10%,0-35,0,60,N,1,83,Pass
BBB,2013J,352339,F,Yorkshire Region,Lower Than A Level,0-10%,0-35,0,220,Y,1,80,Withdrawn
BBB,2013J,369507,F,East Midlands Region,Lower Than A Level,0-10%,0-35,0,220,N,1,71,Withdrawn
BBB,2013J,381541,F,Yorkshire Region,Lower Than A Level,0-10%,0-35,0,120,N,8,79,Pass
BBB,2013J,395073,F,West Midlands Region,Lower Than A Level,0-10%,0-35,1,60,Y,4,59,Fail
BBB,2013J,402993,F,East Midlands Region,A Level or Equivalent,0-10%,0-35,0,60,N,1,80,Pass
BBB,2013J,409698,F,Scotland,Lower Than A Level,0-10%,0-35,0,220,N,1,78,Withdrawn
BBB,2013J,411642,F,West Midlands Region,HE Qualification,0-10%,0-35,1,60,N,1,80,Pass
BBB,2013J,413052,F,North Region,Lower Than A Level,0-10%,0-35,3,220,Y,1,71,Withdrawn
BBB,2013J,421018,F,West Midlands Region,HE Qualification,0-10%,0-35,0,60,N,1,60,Pass
BBB,2013J,424637,F,West Midlands Region,HE Qualification,0-10%,35-55,2,60,N,3,55,Fail
BBB,2013J,439294,F,West Midlands Region,Lower Than A Level,0-10%,0-35,3,60,N,2,70,Fail
BBB,2013J,484412,F,South West Region,A Level or Equivalent,0-10%,35-55,0,120,N,1,85,Pass
BBB,2013J,485439,F,Wales,Lower Than A Level,0-10%,35-55,1,220,Y,3,64,Withdrawn
BBB,2013J,487681,F,Wales,Lower Than A Level,0-10%,0-35,0,60,N,1,67,Pass
BBB,2013J,490677,F,Yorkshire Region,A Level or Equivalent,0-10%,35-55,0,60,N,2,81,Pass
BBB,2013J,492726,F,Scotland,A Level or Equivalent,0-10%,0-35,0,60,N,1,74,Pass
BBB,2013J,504022,F,North Region,A Level or Equivalent,0-10%,0-35,1,120,N,1,73,Pass
BBB,2013J,509845,F,West Midlands Region,A Level or Equivalent,0-10%,0-35,0,220,N,1,33,Withdrawn
BBB,2013J,512775,F,Scotland,HE Qualification,0-10%,35-55,0,90,N,1,77,Pass
BBB,2013J,512977,M,North Western Region,A Level or Equivalent,0-10%,0-35,0,60,N,2,64,Pass
BBB,2013J,513076,F,North Western Region,Lower Than A Level,0-10%,0-35,0,120,Y,2,48,Fail
BBB,2013J,521590,F,North Western Region,Lower Than A Level,0-10%,0-35,0,60,N,1,83,Pass
BBB,2013J,522434,M,Scotland,Lower Than A Level,0-10%,35-55,0,60,N,1,67,Pass
BBB,2013J,522529,F,Scotland,A Level or Equivalent,0-10%,35-55,0,60,N,3,83,Pass
BBB,2013J,523466,F,Wales,A Level or Equivalent,0-10%,0-35,0,120,N,3,74,Pass
BBB,2013J,523757,F,North Western Region,Lower Than A Level,0-10%,35-55,1,60,N,1,48,Fail
BBB,2013J,525877,F,Scotland,Lower Than A Level,0-10%,0-35,2,220,Y,2,50,Withdrawn
BBB,2013J,528204,F,North Western Region,Lower Than A Level,0-10%,0-35,0,220,N,2,71,Withdrawn
BBB,2013J,532114,F,Yorkshire Region,A Level or Equivalent,0-10%,35-55,0,220,N,2,58,Withdrawn
BBB,2013J,539670,M,East Anglian Region,A Level or Equivalent,0-10%,35-55,0,120,N,2,49,Fail
BBB,2013J,543279,F,Yorkshire Region,A Level or Equivalent,0-10%,0-35,0,60,N,1,40,Fail
BBB,2013J,545298,F,North Western Region,Lower Than A Level,0-10%,0-35,0,60,N,1,74,Pass
BBB,2013J,545443,F,North Western Region,A Level or Equivalent,0-10%,0-35,0,60,N,1,60,Pass
BBB,2013J,551628,F,Yorkshire Region,Lower Than A Level,0-10%,0-35,0,220,Y,1,71,Withdrawn
BBB,2013J,552205,F,Scotland,Lower Than A Level,0-10%,0-35,1,60,N,9,68,Pass
BBB,2013J,552865,F,North Western Region,Lower Than A Level,0-10%,0-35,0,220,N,1,71,Withdrawn
BBB,2013J,558533,F,West Midlands Region,A Level or Equivalent,0-10%,0-35,0,60,N,2,79,Pass
BBB,2013J,559414,F,Scotland,HE Qualification,0-10%,35-55,0,60,N,1,75,Pass
BBB,2013J,561457,F,North Region,Lower Than A Level,0-10%,0-35,0,150,N,2,75,Pass
BBB,2013J,561591,F,North Region,A Level or Equivalent,0-10%,0-35,0,60,N,4,93,Pass
BBB,2013J,563769,F,Yorkshire Region,A Level or Equivalent,0-10%,0-35,0,60,N,2,40,Fail
BBB,2013J,564972,F,East Midlands Region,Lower Than A Level,0-10%,0-35,0,220,N,3,71,Withdrawn
BBB,2013J,566720,F,Wales,Lower Than A Level,0-10%,35-55,0,60,N,5,79,Pass
BBB,2013J,567958,M,West Midlands Region,Lower Than A Level,0-10%,35-55,0,60,Y,2,88,Pass
BBB,2013J,570351,M,South Region,A Level or Equivalent,0-10%,0-35,0,60,N,5,80,Pass
BBB,2013J,570519,F,East Midlands Region,A Level or Equivalent,0-10%,0-35,0,60,N,1,38,Fail
BBB,2013J,571554,M,Yorkshire Region,A Level or Equivalent,0-10%,0-35,0,60,N,3,70,Pass
BBB,2013J,5712401,F,South Region,Lower Than A Level,0-10%,0-35,0,220,N,5,71,Withdrawn
BBB,2013J,571672,F,North Western Region,Lower Than A Level,0-10%,35-55,0,60,N,2,71,Fail
BBB,2013J,571681,F,Ireland,HE Qualification,0-10%,0-35,0,60,N,9,73,Pass
BBB,2013J,571907,F,Scotland,A Level or Equivalent,0-10%,0-35,0,60,N,1,78,Pass
BBB,2013J,572067,F,North Region,A Level or Equivalent,0-10%,0-35,0,60,N,1,76,Pass
BBB,2013J,572163,F,Wales,Lower Than A Level,0-10%,0-35,0,220,N,12,80,Withdrawn
BBB,2013J,573063,F,North Region,Lower Than A Level,0-10%,0-35,0,60,N,1,60,Pass
BBB,2013J,573441,F,Yorkshire Region,Lower Than A Level,0-10%,0-35,0,220,N,2,56,Withdrawn
BBB,2013J,573831,F,East Midlands Region,Lower Than A Level,0-10%,0-35,0,60,Y,9,75,Pass
BBB,2013J,573986,F,West Midlands Region,Lower Than A Level,0-10%,0-35,0,60,N,1,78,Pass
BBB,2013J,574051,F,Wales,Lower Than A Level,0-10%,35-55,0,120,N,1,33,Fail
BBB,2013J,576158,F,Wales,Lower Than A Level,0-10%,0-35,0,120,N,1,80,Pass
BBB,2013J,576981,F,North Region,A Level or Equivalent,0-10%,0-35,0,60,N,3,70,Pass
BBB,2013J,577256,F,West Midlands Region,A Level or Equivalent,0-10%,0-35,0,120,N,2,59,Pass
BBB,2013J,577376,F,Ireland,A Level or Equivalent,0-10%,0-35,0,90,Y,2,79,Pass
BBB,2013J,577905,F,South West Region,Lower Than A Level,0-10%,0-35,0,220,N,1,48,Withdrawn
BBB,2013J,577980,F,South Region,A Level or Equivalent,0-10%,0-35,0,150,N,1,60,Pass
BBB,2013J,578264,F,North Western Region,HE Qualification,0-10%,0-35,0,220,Y,1,71,Withdrawn
BBB,2013J,579571,F,Yorkshire Region,Lower Than A Level,0-10%,0-35,0,60,N,1,67,Pass
BBB,2013J,581586,F,West Midlands Region,HE Qualification,0-10%,0-35,0,120,N,3,70,Pass
BBB,2013J,582390,F,Ireland,A Level or Equivalent,0-10%,0-35,0,60,N,4,74,Pass
BBB,2013J,582591,F,North Western Region,Lower Than A Level,0-10%,0-35,0,120,N,1,61,Fail
BBB,2013J,582636,F,North Region,A Level or Equivalent,0-10%,0-35,0,60,N,2,60,Pass
BBB,2013J,583142,F,East Anglian Region,Lower Than A Level,0-10%,0-35,0,220,N,1,65,Withdrawn
BBB,2013J,583191,F,London Region,A Level or Equivalent,0-10%,0-35,0,60,N,2,71,Pass
BBB,2013J,584042,F,South West Region,Lower Than A Level,0-10%,35-55,0,120,N,1,64,Pass
BBB,2013J,584580,F,Ireland,Lower Than A Level,0-10%,0-35,0,60,N,2,50,Pass
BBB,2013J,586346,F,North Western Region,A Level or Equivalent,0-10%,0-35,0,120,N,1,69,Pass
BBB,2013J,586843,F,East Anglian Region,A Level or Equivalent,0-10%,0-35,0,60,N,1,81,Pass
BBB,2013J,587418,F,North Western Region,A Level or Equivalent,0-10%,0-35,0,60,N,1,78,Pass
BBB,2013J,587838,F,Ireland,Lower Than A Level,0-10%,0-35,0,220,N,2,72,Withdrawn
BBB,2013J,588642,F,London Region,A Level or Equivalent,0-10%,0-35,0,120,N,3,77,Pass
BBB,2013J,590812,F,Wales,Lower Than A Level,0-10%,35-55,0,220,N,1,58,Withdrawn
BBB,2013J,590923,F,North Western Region,Lower Than A Level,0-10%,0-35,0,60,N,1,60,Fail
BBB,2013J,590931,F,Ireland,A Level or Equivalent,0-10%,0-35,0,120,N,1,83,Pass
BBB,2013J,591589,F,Yorkshire Region,A Level or Equivalent,0-10%,35-55,0,60,N,1,68,Pass
BBB,2013J,591787,F,London Region,Lower Than A Level,0-10%,35-55,0,60,N,1,50,Pass
BBB,2013J,591895,F,Wales,Lower Than A Level,0-10%,0-35,0,220,Y,1,64,Withdrawn
BBB,2013J,592441,F,North Western Region,A Level or Equivalent,0-10%,0-35,0,120,N,1,88,Pass
BBB,2013J,592772,F,West Midlands Region,Lower Than A Level,0-10%,0-35,0,60,N,2,64,Pass
BBB,2013J,592815,F,West Midlands Region,No Formal quals,0-10%,0-35,0,220,N,2,85,Withdrawn
BBB,2013J,593900,F,Yorkshire Region,A Level or Equivalent,0-10%,0-35,0,60,N,3,72,Pass
BBB,2013J,596100,F,West Midlands Region,Lower Than A Level,0-10%,0-35,0,220,N,3,65,Withdrawn
BBB,2013J,596417,F,West Midlands Region,A Level or Equivalent,0-10%,35-55,0,60,N,1,74,Pass
BBB,2013J,597321,F,North Western Region,Lower Than A Level,0-10%,0-35,0,220,N,3,71,Withdrawn
BBB,2013J,598252,F,Ireland,Lower Than A Level,0-10%,0-35,0,120,N,1,85,Pass
BBB,2013J,598562,M,East Anglian Region,Lower Than A Level,0-10%,0-35,0,60,N,1,30,Fail
BBB,2013J,599432,F,East Anglian Region,A Level or Equivalent,0-10%,0-35,0,220,N,1,240,Withdrawn
BBB,2013J,599836,F,Yorkshire Region,A Level or Equivalent,0-10%,0-35,0,60,N,2,74,Pass
BBB,2013J,5999240,F,Wales,Lower Than A Level,0-10%,0-35,0,220,N,1,87,Withdrawn
BBB,2013J,2400218,F,London Region,HE Qualification,0-10%,0-35,0,220,N,4,71,Withdrawn
BBB,2013J,2401472,F,Ireland,Lower Than A Level,0-10%,35-55,0,220,N,5,62,Withdrawn
BBB,2013J,601934,F,North Western Region,Lower Than A Level,0-10%,35-55,0,180,N,5,33,Fail
BBB,2013J,602147,F,Ireland,Lower Than A Level,0-10%,0-35,0,60,N,1,85,Pass
BBB,2013J,602496,F,Yorkshire Region,HE Qualification,0-10%,0-35,0,60,N,3,77,Pass
BBB,2013J,2402631,F,Ireland,A Level or Equivalent,0-10%,35-55,0,220,N,2,71,Withdrawn
BBB,2013J,602767,F,North Western Region,Lower Than A Level,0-10%,0-35,0,60,N,1,56,Fail
BBB,2013J,603210,F,Scotland,A Level or Equivalent,0-10%,35-55,0,120,N,4,70,Pass
BBB,2013J,604196,F,Ireland,A Level or Equivalent,0-10%,0-35,0,60,Y,1,80,Pass
BBB,2013J,2404523,F,East Midlands Region,A Level or Equivalent,0-10%,0-35,0,220,N,1,71,Withdrawn
BBB,2013J,604556,F,North Region,A Level or Equivalent,0-10%,0-35,0,120,N,2,63,Pass
BBB,2013J,604921,F,Ireland,Lower Than A Level,0-10%,35-55,0,60,N,1,43,Fail
BBB,2013J,2405292,F,North Western Region,Lower Than A Level,0-10%,0-35,0,220,N,2,71,Withdrawn
BBB,2013J,605832,F,East Midlands Region,A Level or Equivalent,0-10%,0-35,0,60,Y,1,77,Pass
BBB,2013J,605854,M,East Anglian Region,A Level or Equivalent,0-10%,35-55,0,60,N,1,49,Fail
BBB,2013J,2405882,F,Ireland,A Level or Equivalent,0-10%,0-35,0,220,N,1,55,Withdrawn
BBB,2013J,2406388,F,Scotland,HE Qualification,0-10%,0-35,0,220,N,3,79,Withdrawn
BBB,2013J,606572,F,West Midlands Region,A Level or Equivalent,0-10%,35-55,0,120,N,1,83,Pass
BBB,2013J,2406972,F,Scotland,Lower Than A Level,0-10%,0-35,0,220,N,2,71,Withdrawn
BBB,2013J,2407286,F,West Midlands Region,A Level or Equivalent,0-10%,0-35,0,220,N,1,71,Withdrawn
BBB,2013J,609010,F,Wales,A Level or Equivalent,0-10%,0-35,0,60,N,1,90,Pass
